customer_id,age group,cltv,customer_status,churn_category,churn_reason,monthly_ charges,total_revenue
0743-HNPFG,36-50,5628,Stayed,Not Applicable,N/A,69.75,4477.95
6968-MHOMU,51-65,5006,Stayed,Not Applicable,N/A,45,2689.35
7029-IJEJK,51-65,6205,Stayed,Not Applicable,N/A,44.1,2369.7
0744-BIKKF,36-50,4621,Stayed,Not Applicable,N/A,86.65,7046.32
7136-RVDTZ,Over 65,5824,Churned,Attitude,Attitude of service provider,45.25,3264.45
0744-GKNGE,20-35,4915,Stayed,Not Applicable,N/A,86.8,7102.61
7244-QWYHG,20-35,5363,Stayed,Not Applicable,N/A,44.45,2188.45
7325-ENZFI,36-50,3424,Stayed,Not Applicable,N/A,40.3,1630.4
0748-RDGGM,36-50,6136,Churned,Price,Long distance charges,109.5,10308.75
7338-ERIVA,36-50,4003,Stayed,Not Applicable,N/A,45.05,1790.6
7795-CFOCW,51-65,4307,Stayed,Not Applicable,N/A,42.3,1840.75
0750-EBAIU,36-50,4770,Stayed,Not Applicable,N/A,91.25,6366.42
7876-AEHIG,36-50,5404,Stayed,Not Applicable,N/A,60.15,3077
0750-EKNGL,36-50,4476,Stayed,Not Applicable,N/A,20.75,471.43
8035-BUYVG,36-50,5422,Churned,Attitude,Attitude of support person,42.35,1716.45
0754-EEBDC,20-35,2347,Stayed,Not Applicable,N/A,19.9,174.93
8050-WYBND,51-65,5941,Stayed,Not Applicable,N/A,49.45,1031.4
0754-UKWQP,51-65,3790,Churned,Competitor,Competitor had better devices,95.85,272.56
8124-NZVGJ,20-35,2979,Stayed,Not Applicable,N/A,49.25,255.6
8205-OTCHB,51-65,3099,Churned,Dissatisfaction,Network reliability,43.75,903.6
0757-WCUUZ,20-35,4232,Stayed,Not Applicable,N/A,63.35,5357.96
8292-FRFZQ,Under 20,3445,Stayed,Not Applicable,N/A,41.15,1700.9
0761-AETCS,51-65,3236,Churned,Attitude,Attitude of support person,19.3,44.92
8314-DPQHL,51-65,5535,Stayed,Not Applicable,N/A,50.8,463.6
8318-LCNBW,51-65,5638,Stayed,Not Applicable,N/A,53.15,1930.9
0771-CHWSK,51-65,4838,Stayed,Not Applicable,N/A,74.6,7806.02
8319-QBEHW,20-35,2715,Stayed,Not Applicable,N/A,39.95,1023.75
0771-WLCLA,36-50,2683,Stayed,Not Applicable,N/A,112.95,2625.75
8328-SKJNO,51-65,5230,Stayed,Not Applicable,N/A,40.65,947.4
0772-GYEQQ,20-35,5202,Churned,Competitor,Competitor offered more data,88.35,410.25
8409-WQJUX,36-50,4458,Stayed,Not Applicable,N/A,54.2,1423.15
0774-IFUVM,Under 20,5942,Stayed,Not Applicable,N/A,65.15,907.16
8627-EHGIP,36-50,3051,Churned,Competitor,Competitor offered more data,53.95,2375.4
8745-PVESG,36-50,5281,Stayed,Not Applicable,N/A,41.1,2258.25
8898-KASCD,36-50,3752,Stayed,Not Applicable,N/A,35.55,1309.15
0780-XNZFN,51-65,4193,Stayed,Not Applicable,N/A,20.65,1221.93
9060-HJJRW,51-65,4380,Stayed,Not Applicable,N/A,56.4,2928.5
0781-LKXBR,51-65,4038,Churned,Competitor,Competitor had better devices,100.5,1356.99
9309-BZGNT,Over 65,5681,Stayed,Not Applicable,N/A,29.8,2134.3
0784-GTUUK,20-35,4811,Stayed,Not Applicable,N/A,23.75,3448.16
9388-ZEYVT,51-65,2522,Stayed,Not Applicable,N/A,44.15,1931.3
0784-ZQJZX,20-35,5730,Stayed,Not Applicable,N/A,19.9,3828.61
9495-REDIY,51-65,5079,Stayed,Not Applicable,N/A,40.65,970.55
0786-IVLAW,Over 65,4722,Stayed,Not Applicable,N/A,108.1,7474.22
9581-GVBXT,51-65,6300,Stayed,Not Applicable,N/A,34.8,1980.3
9750-BOOHV,51-65,3585,Stayed,Not Applicable,N/A,30.15,927.65
0787-LHDYT,36-50,5667,Stayed,Not Applicable,N/A,20.6,865.29
9758-MFWGD,Over 65,2617,Stayed,Not Applicable,N/A,29.9,1388.75
0788-DXBFY,51-65,4801,Stayed,Not Applicable,N/A,19.55,2728.74
9795-VOWON,20-35,4665,Stayed,Not Applicable,N/A,24.35,150.85
0793-TWELN,20-35,2841,Stayed,Not Applicable,N/A,80.15,345.85
9830-ECLEN,20-35,4704,Stayed,Not Applicable,N/A,50,2919.85
0794-YVSGE,20-35,5265,Stayed,Not Applicable,N/A,20.3,3356.67
9955-QOPOY,20-35,5683,Stayed,Not Applicable,N/A,60.8,4263.4
0795-GMVQO,36-50,5416,Stayed,Not Applicable,N/A,109.9,8882.11
0795-LAFGP,20-35,5633,Stayed,Not Applicable,N/A,90.4,6921.52
0795-XCCTE,Over 65,6141,Stayed,Not Applicable,N/A,25.4,3682.07
0799-DDIHE,20-35,3103,Stayed,Not Applicable,N/A,46.3,1003.5
0804-YGEQV,51-65,5119,Stayed,Not Applicable,N/A,24.45,2157.11
0956-SYCWG,51-65,2024,Stayed,Not Applicable,N/A,19.65,675.49
0807-ZABDG,36-50,4412,Churned,Competitor,Competitor offered higher download speeds,55.1,232.77
1069-QJOEE,36-50,4134,Stayed,Not Applicable,N/A,19.9,977.2
0810-BDHAW,51-65,2506,Stayed,Not Applicable,N/A,78.4,2721.28
1226-JZNKR,20-35,5698,Stayed,Not Applicable,N/A,19.8,387.01
0810-DHDBD,20-35,5806,Stayed,Not Applicable,N/A,74,4989.41
1839-UMACK,20-35,3756,Stayed,Not Applicable,N/A,25.05,2110.73
0811-GSDTP,36-50,3540,Stayed,Not Applicable,N/A,30.15,392.2
2252-JHJGE,20-35,4344,Stayed,Not Applicable,N/A,104,9150.54
0812-WUPTB,51-65,3022,Churned,Price,Long distance charges,70.85,120.45
2364-UFROM,36-50,3380,Stayed,Not Applicable,N/A,70.4,3017.05
0813-TAXXS,36-50,6483,Stayed,Not Applicable,N/A,77.8,5769.85
2402-TAIRZ,36-50,3364,Stayed,Not Applicable,N/A,80.05,3374.67
0815-MFZGM,51-65,4545,Stayed,Not Applicable,N/A,99,4190.02
2424-WVHPL,Over 65,4182,Joined,Not Applicable,N/A,74.7,102.35
0816-TSPHQ,20-35,3976,Joined,Not Applicable,N/A,20.75,99.54
2504-DSHIH,Over 65,5788,Stayed,Not Applicable,N/A,86.8,2955.42
0817-HSUSE,20-35,2954,Joined,Not Applicable,N/A,75.5,81.13
2550-AEVRU,20-35,5660,Stayed,Not Applicable,N/A,53.45,4022.57
0818-OCPZO,Over 65,2571,Churned,Competitor,Competitor offered more data,81.45,3280.62
2599-CZABP,51-65,4612,Stayed,Not Applicable,N/A,44.6,1270.55
0820-FNRNX,36-50,2814,Stayed,Not Applicable,N/A,66.7,1584.84
2673-CXQEU,Over 65,4463,Stayed,Not Applicable,N/A,110.5,8778.78
2690-DVRVK,20-35,3629,Stayed,Not Applicable,N/A,20.55,305.5
0822-QGCXA,Over 65,5907,Stayed,Not Applicable,N/A,83.85,2402.81
2878-DHMIN,51-65,2334,Stayed,Not Applicable,N/A,19.9,1514.05
0823-HSCDJ,Over 65,5597,Churned,Competitor,Competitor made better offer,49.15,2580.9
2896-TBNBE,36-50,3387,Stayed,Not Applicable,N/A,80.8,3651.55
0824-VWDPO,51-65,3682,Stayed,Not Applicable,N/A,96.75,4513.4
2957-JIRMN,Over 65,4166,Stayed,Not Applicable,N/A,84.45,6169.39
0825-CPPQH,20-35,4241,Stayed,Not Applicable,N/A,19.1,4172.69
2969-WGHQO,36-50,3334,Stayed,Not Applicable,N/A,69.45,609.42
0827-ITJPH,20-35,5703,Stayed,Not Applicable,N/A,18.55,995
2972-YDYUW,36-50,4507,Stayed,Not Applicable,N/A,94.7,7688.53
0829-DDVLK,51-65,4359,Stayed,Not Applicable,N/A,20.1,448.55
3092-IGHWF,20-35,4421,Churned,Competitor,Competitor made better offer,87.4,7821.6
0829-XXPLX,36-50,2098,Stayed,Not Applicable,N/A,89.4,2481.55
3104-OWCGK,20-35,4111,Churned,Other,Moved,90.95,7448.4
0831-JNISG,51-65,5406,Stayed,Not Applicable,N/A,19.8,3053.39
3167-SNQPL,Over 65,4036,Stayed,Not Applicable,N/A,101.15,4817.25
0835-DUUIQ,51-65,2050,Stayed,Not Applicable,N/A,21.05,1666.99
3224-DFQNQ,51-65,4488,Stayed,Not Applicable,N/A,89,8365.68
0835-JKADZ,20-35,4361,Stayed,Not Applicable,N/A,111.25,10960.47
3253-HKOKL,20-35,4811,Stayed,Not Applicable,N/A,100.3,5659.93
3313-QKNKB,20-35,6304,Churned,Competitor,Competitor offered more data,85.55,5492.34
0839-JTCUD,20-35,4082,Stayed,Not Applicable,N/A,89.9,8358.61
3325-FUYCG,51-65,3770,Churned,Dissatisfaction,Service dissatisfaction,106.1,3116.76
0839-QNXME,20-35,3986,Stayed,Not Applicable,N/A,19.4,856.6
3378-AJRAO,36-50,5331,Stayed,Not Applicable,N/A,24.85,2431.28
0840-DCNZE,20-35,5631,Stayed,Not Applicable,N/A,86.95,5867.56
3468-DRVQJ,36-50,5496,Stayed,Not Applicable,N/A,70.3,939.85
0840-DFEZH,51-65,4989,Stayed,Not Applicable,N/A,75.35,740.84
3547-LQRIK,20-35,2382,Stayed,Not Applicable,N/A,26.9,1799.81
3638-DIMPH,20-35,4369,Stayed,Not Applicable,N/A,43.8,976.02
0842-IWYCP,Under 20,2626,Stayed,Not Applicable,N/A,44.95,4023.62
3707-LRWZD,36-50,3553,Churned,Other,Moved,84.05,4070.17
0843-WTBXE,36-50,4753,Churned,Other,Don't know,85.45,5388.04
3870-MQAMG,20-35,6189,Churned,Competitor,Competitor had better devices,110.35,6010.87
0847-HGRML,36-50,4402,Stayed,Not Applicable,N/A,20,2767.86
4135-FRWKJ,Over 65,4319,Stayed,Not Applicable,N/A,76.25,6055.9
4163-HFTUK,20-35,4120,Stayed,Not Applicable,N/A,19.1,2503.63
0848-ZGQIJ,51-65,3050,Stayed,Not Applicable,N/A,94.65,1629.15
4328-VUFWD,51-65,5843,Stayed,Not Applicable,N/A,59.3,2473.18
0851-DFJKB,51-65,4497,Stayed,Not Applicable,N/A,58.95,1413.25
4597-ELFTS,51-65,5327,Churned,Attitude,Attitude of support person,24.9,1478.48
0853-NWIFK,20-35,4868,Stayed,Not Applicable,N/A,100.3,4530.3
4692-NNQRU,36-50,4900,Stayed,Not Applicable,N/A,79.2,2047.16
0853-TWRVK,51-65,5981,Stayed,Not Applicable,N/A,105.6,8024.3
4709-LKHYG,20-35,3800,Stayed,Not Applicable,N/A,20,1343.93
0854-UYHZD,20-35,2816,Stayed,Not Applicable,N/A,19.55,814.29
4716-HHKQH,Over 65,5328,Stayed,Not Applicable,N/A,107.05,2723.25
0856-NAOES,20-35,2191,Stayed,Not Applicable,N/A,60.9,688.12
5176-LDKUH,51-65,3345,Stayed,Not Applicable,N/A,75.15,5753.13
0859-YGKFW,51-65,4458,Stayed,Not Applicable,N/A,20.05,850.98
5269-NRGDP,51-65,2531,Stayed,Not Applicable,N/A,73.15,3709.85
0862-PRCBS,20-35,4121,Stayed,Not Applicable,N/A,103.75,8133.57
5324-KTGCG,51-65,4837,Stayed,Not Applicable,N/A,20.85,4721.97
0864-FVJNJ,51-65,4952,Stayed,Not Applicable,N/A,113.35,7679.87
5512-IDZEI,51-65,2026,Stayed,Not Applicable,N/A,24.9,2023.5
0866-QLSIR,51-65,5189,Churned,Attitude,Attitude of support person,64.4,3258.69
5686-CMAWK,36-50,5863,Stayed,Not Applicable,N/A,86.75,2255.32
0867-LDTTC,51-65,5900,Stayed,Not Applicable,N/A,75.15,621.1
5777-ZPQNC,20-35,4628,Stayed,Not Applicable,N/A,20.15,580.74
0867-MKZVY,20-35,5719,Churned,Price,Price too high,82.4,2290.92
5789-LDFXO,51-65,5448,Stayed,Not Applicable,N/A,24.6,1728.57
0868-VJRDR,51-65,4337,Stayed,Not Applicable,N/A,104.05,6910.19
5915-DGNVC,36-50,6193,Stayed,Not Applicable,N/A,71.8,4701.95
0869-PAPRP,Over 65,3935,Stayed,Not Applicable,N/A,85.7,3269.24
6161-ERDGD,51-65,5280,Stayed,Not Applicable,N/A,85.45,7962.96
0870-VEMYL,20-35,5435,Churned,Competitor,Competitor offered higher download speeds,53.85,368.44
6199-IWKGC,Over 65,5453,Stayed,Not Applicable,N/A,100.25,5741.01
0871-OPBXW,51-65,5191,Joined,Not Applicable,N/A,20.05,52.95
6250-CGGUN,36-50,4154,Stayed,Not Applicable,N/A,84.4,6139.69
0871-URUWO,36-50,2003,Churned,Competitor,Competitor had better devices,102.25,1756.15
6296-DDOOR,Under 20,4033,Stayed,Not Applicable,N/A,58.2,1507.9
0872-CASZJ,20-35,4765,Stayed,Not Applicable,N/A,69.1,5306.4
6674-KVJHG,36-50,4998,Stayed,Not Applicable,N/A,25.2,265.72
0872-JCPIB,36-50,3921,Stayed,Not Applicable,N/A,65.75,1917.85
6705-LXORM,Over 65,2064,Stayed,Not Applicable,N/A,70.05,329.7
0872-NXJYS,36-50,3246,Churned,Competitor,Competitor offered more data,79.55,1132.09
6974-DAFLI,51-65,4888,Stayed,Not Applicable,N/A,19.7,1320.45
0875-CABNR,Over 65,3320,Churned,Attitude,Attitude of support person,84.6,1034.05
7103-IPXPJ,36-50,6479,Stayed,Not Applicable,N/A,99.4,6362.75
0876-WDUUZ,51-65,3716,Churned,Price,Long distance charges,85.4,643.45
7285-KLOTR,36-50,2495,Stayed,Not Applicable,N/A,78.85,1177.83
0877-SDMBN,20-35,6117,Churned,Competitor,Competitor made better offer,103.95,7986.43
7311-MQJCH,51-65,2575,Stayed,Not Applicable,N/A,19.55,289.45
0880-FVFWF,20-35,4449,Stayed,Not Applicable,N/A,86.4,7002.8
7319-ZNRTR,36-50,2888,Stayed,Not Applicable,N/A,19.6,805.15
0880-TKATG,20-35,4417,Churned,Competitor,Competitor had better devices,101.15,424.14
7356-AYNJP,20-35,5685,Stayed,Not Applicable,N/A,23.9,122.94
0883-EIBTI,20-35,2484,Churned,Dissatisfaction,Limited range of services,19.5,87.59
7694-VLBWQ,51-65,4857,Churned,Dissatisfaction,Product dissatisfaction,104.1,7588.91
0885-HMGPY,51-65,6469,Stayed,Not Applicable,N/A,69.4,6787.56
8008-ESFLK,36-50,4135,Stayed,Not Applicable,N/A,110.5,6189.54
0886-QGENL,Over 65,4853,Churned,Attitude,Attitude of service provider,101.25,3991.59
8272-ONJLV,51-65,5527,Stayed,Not Applicable,N/A,95.7,1772
0887-HJGAR,51-65,2295,Churned,Competitor,Competitor offered higher download speeds,45.7,51.25
8383-SGHJU,36-50,2853,Stayed,Not Applicable,N/A,59.4,2292.04
0887-WBJVH,20-35,4700,Stayed,Not Applicable,N/A,93.45,6904.75
8608-OZTLB,51-65,5975,Stayed,Not Applicable,N/A,74.05,3997.4
0895-DQHEW,36-50,4019,Churned,Competitor,Competitor offered more data,104.3,7181.54
8760-ZRHKE,Over 65,5546,Stayed,Not Applicable,N/A,69.2,8432.39
0895-LMRSF,20-35,3314,Stayed,Not Applicable,N/A,64.9,2707
8812-ZRHFP,51-65,2923,Stayed,Not Applicable,N/A,86.45,3990.95
0895-LNKRC,51-65,3461,Stayed,Not Applicable,N/A,19.45,122.92
8958-JPTRR,20-35,5052,Stayed,Not Applicable,N/A,24.3,2449.46
8979-CAMGB,Over 65,6100,Stayed,Not Applicable,N/A,102.1,7332.58
0897-FEGMU,36-50,5286,Churned,Dissatisfaction,Network reliability,99.5,1398.83
9052-DHNKM,20-35,5156,Stayed,Not Applicable,N/A,61.55,2570.99
0898-XCGTF,36-50,5926,Stayed,Not Applicable,N/A,96.5,7013.26
9058-HRZSV,Over 65,5348,Stayed,Not Applicable,N/A,94.4,8616.95
0899-LIIBW,20-35,5891,Stayed,Not Applicable,N/A,100.85,4668
9101-BWFSS,51-65,4274,Churned,Other,Moved,108.55,7082.2
0899-WZRSD,20-35,5680,Stayed,Not Applicable,N/A,105.35,7921.89
9114-VEPUF,Under 20,6139,Stayed,Not Applicable,N/A,96.1,7893.07
0902-RFHOF,36-50,2907,Stayed,Not Applicable,N/A,20.1,1574.84
9207-ZPANB,36-50,5042,Stayed,Not Applicable,N/A,67.45,2925.78
0902-XKXPN,20-35,5463,Stayed,Not Applicable,N/A,20.2,3001.45
9209-NWPGU,36-50,5827,Stayed,Not Applicable,N/A,65.4,4313.67
0906-QVPMS,20-35,5398,Stayed,Not Applicable,N/A,115.15,10920.57
9391-LMANN,36-50,4523,Stayed,Not Applicable,N/A,95.95,6825.12
0907-HQNTS,Over 65,4588,Stayed,Not Applicable,N/A,113,11221.6
9402-CXWPL,20-35,5980,Stayed,Not Applicable,N/A,98.9,7425.9
9494-BDNNC,36-50,5706,Stayed,Not Applicable,N/A,95.3,7978.18
0909-SELIE,51-65,4302,Stayed,Not Applicable,N/A,80.8,7495.96
9513-DXHDA,51-65,2445,Stayed,Not Applicable,N/A,81.7,3542.3
0913-XWSCN,20-35,6411,Stayed,Not Applicable,N/A,85.5,7017.35
9738-QLWTP,36-50,3446,Stayed,Not Applicable,N/A,81.9,4589.82
0916-KNFAJ,36-50,5117,Stayed,Not Applicable,N/A,69.9,4512.79
0916-QOFDP,Over 65,3471,Stayed,Not Applicable,N/A,95.8,1547.76
0917-EZOLA,Over 65,5925,Churned,Price,Extra data charges,104.15,8124.11
0921-OHLVP,20-35,5357,Stayed,Not Applicable,N/A,83.05,2051.42
0923-PNFUB,51-65,4852,Churned,Attitude,Attitude of support person,83.75,386.33
0924-BJCRC,Over 65,4340,Stayed,Not Applicable,N/A,89.45,6785.4
0925-VYDLG,36-50,5898,Churned,Attitude,Attitude of service provider,75.25,295.61
0927-CNGRH,36-50,5272,Joined,Not Applicable,N/A,19.55,50.18
0927-LCSMG,20-35,3331,Churned,Competitor,Competitor offered more data,74.65,705.61
0928-XUTSN,20-35,3895,Stayed,Not Applicable,N/A,80.5,1571.68
0929-HYQEW,20-35,2085,Joined,Not Applicable,N/A,50.15,213.11
0929-PECLO,Over 65,4438,Stayed,Not Applicable,N/A,89.6,8172.2
0930-EHUZA,20-35,4771,Stayed,Not Applicable,N/A,76.35,4221.67
0931-MHTEM,36-50,4478,Stayed,Not Applicable,N/A,100.05,7150.23
0932-YIXYU,36-50,5134,Stayed,Not Applicable,N/A,20.25,1445.75
0936-NQLJU,36-50,5062,Stayed,Not Applicable,N/A,20.65,1221.59
1004-NOZNR,Over 65,5693,Stayed,Not Applicable,N/A,94.8,5856.22
0939-EREMR,36-50,4335,Stayed,Not Applicable,N/A,53.45,1021.02
1064-FBXNK,51-65,2618,Joined,Not Applicable,N/A,19.85,67.31
0939-YAPAF,36-50,2744,Churned,Competitor,Competitor offered higher download speeds,100.25,3894.75
1088-CNNKB,20-35,5540,Stayed,Not Applicable,N/A,80,7183.46
0940-OUQEC,51-65,3492,Churned,Competitor,Competitor offered more data,80.7,971.08
1142-IHLOO,36-50,6021,Stayed,Not Applicable,N/A,87.55,5208.77
0942-KOWSM,20-35,4274,Stayed,Not Applicable,N/A,80.8,2847.5
1178-PZGAB,36-50,5586,Stayed,Not Applicable,N/A,20.25,736.48
0943-ZQPXH,36-50,5635,Stayed,Not Applicable,N/A,92.95,5277.9
1265-HVPZB,36-50,6432,Stayed,Not Applicable,N/A,66.4,4905.74
0945-TSONX,20-35,5698,Stayed,Not Applicable,N/A,85.3,5607.3
1544-JJMYL,Under 20,2450,Stayed,Not Applicable,N/A,69.35,2909.83
0946-CLJTI,Over 65,4662,Churned,Competitor,Competitor had better devices,98.7,5997.04
1599-EAHXY,36-50,5449,Stayed,Not Applicable,N/A,23.95,3213.4
0946-FKYTX,36-50,6290,Stayed,Not Applicable,N/A,30.1,1611.68
1697-LYYYX,20-35,4376,Stayed,Not Applicable,N/A,19.1,3712.51
0947-IDHRQ,20-35,3949,Churned,Competitor,Competitor made better offer,80.3,811.17
1722-LDZJS,36-50,6050,Stayed,Not Applicable,N/A,20.2,2151.47
0947-MUGVO,Over 65,5849,Churned,Competitor,Competitor had better devices,73.65,1570.9
1934-MKPXS,20-35,3636,Stayed,Not Applicable,N/A,20.1,2249.76
0952-KMEEH,36-50,5525,Churned,Price,Long distance charges,98.15,1313.93
2040-OBMLJ,20-35,4850,Stayed,Not Applicable,N/A,81.7,3081.23
2054-PJOCK,20-35,4159,Stayed,Not Applicable,N/A,80.55,5813.65
0956-ACVZC,20-35,4084,Stayed,Not Applicable,N/A,94.1,7845.28
2056-EVGZL,51-65,4437,Stayed,Not Applicable,N/A,105.75,7926.34
2122-SZZZD,51-65,4220,Stayed,Not Applicable,N/A,19.5,1633.66
0958-YHXGP,20-35,4562,Stayed,Not Applicable,N/A,69.9,714.23
2266-SJNAT,20-35,4807,Stayed,Not Applicable,N/A,109.15,8642.8
0959-WHOKV,20-35,2887,Stayed,Not Applicable,N/A,99,4568.09
2282-YGNOR,36-50,2810,Stayed,Not Applicable,N/A,58,2153.84
0960-HUWBM,36-50,4024,Stayed,Not Applicable,N/A,104.1,9268.85
2321-OMBXY,51-65,2071,Churned,Other,Don't know,80.3,4659.97
0961-ZWLVI,20-35,6005,Stayed,Not Applicable,N/A,109.2,5523.69
2541-YGPKE,20-35,3764,Stayed,Not Applicable,N/A,63.7,4651.25
0962-CQPWQ,51-65,4574,Stayed,Not Applicable,N/A,20.3,1445.57
2662-NNTDK,36-50,5826,Stayed,Not Applicable,N/A,24.8,4582.5
0963-ZBDRN,36-50,3606,Churned,Attitude,Attitude of support person,96.2,3990.12
2821-WARNZ,20-35,4170,Stayed,Not Applicable,N/A,19.45,3157.66
0967-BMLBD,36-50,5837,Stayed,Not Applicable,N/A,20,737.44
2830-LEWOA,36-50,4079,Stayed,Not Applicable,N/A,103.9,9077.03
0968-GSIKN,20-35,3901,Churned,Competitor,Competitor made better offer,70.8,101.4
2890-WFBHU,20-35,6041,Stayed,Not Applicable,N/A,79.85,4900.56
0969-RGKCU,20-35,5137,Stayed,Not Applicable,N/A,19.8,2264
2969-VAPYH,20-35,4363,Stayed,Not Applicable,N/A,60.5,6281.33
0970-ETWGE,36-50,4996,Churned,Competitor,Competitor had better devices,89.55,132.01
3055-VTCGS,20-35,6312,Stayed,Not Applicable,N/A,58.55,5228.44
0970-QXPXW,20-35,5454,Joined,Not Applicable,N/A,19.65,62.07
3125-RAHBV,20-35,2768,Stayed,Not Applicable,N/A,20.3,973.81
0971-QIFJK,51-65,4884,Stayed,Not Applicable,N/A,24.25,4340.87
3205-MXZRA,36-50,2074,Stayed,Not Applicable,N/A,59.45,1591.76
0973-KYVNF,51-65,5176,Stayed,Not Applicable,N/A,70.65,8115.79
3280-NMUVX,51-65,4669,Stayed,Not Applicable,N/A,19.6,1563.82
0975-UYDTX,36-50,2068,Stayed,Not Applicable,N/A,90.1,2931.14
3282-ZISZV,51-65,3945,Stayed,Not Applicable,N/A,83.7,3832.66
3401-URHDA,51-65,5233,Stayed,Not Applicable,N/A,59.9,3545.95
3487-EARAT,36-50,6325,Stayed,Not Applicable,N/A,74.1,6559.3
0979-PHULV,20-35,4020,Churned,Competitor,Competitor made better offer,99.45,10374.8
3594-BDSOA,36-50,3071,Stayed,Not Applicable,N/A,20.4,1343.44
0980-FEXWF,20-35,3386,Stayed,Not Applicable,N/A,50.35,1405.92
3605-JISKB,Over 65,4212,Stayed,Not Applicable,N/A,60,3815.5
3823-KYNQY,51-65,4443,Stayed,Not Applicable,N/A,24.95,587.24
0983-TATYJ,36-50,4935,Stayed,Not Applicable,N/A,51.45,3345.87
3863-IUBJR,20-35,2595,Churned,Competitor,Competitor had better devices,53.65,1030.19
0988-AADSA,36-50,6317,Stayed,Not Applicable,N/A,80.85,6534.59
3898-BSJYF,20-35,4434,Stayed,Not Applicable,N/A,73.55,835.7
0988-JRWWP,36-50,3167,Joined,Not Applicable,N/A,54.2,264.54
4000-VGMQP,51-65,2125,Stayed,Not Applicable,N/A,78.95,3382.01
0991-BRRFB,20-35,4028,Churned,Other,Deceased,49.4,1250.28
4106-HADHQ,36-50,2704,Churned,Other,Moved,80,4575.25
0993-OSGPT,Over 65,6418,Stayed,Not Applicable,N/A,60.65,6733.3
4116-IQRFR,51-65,4463,Stayed,Not Applicable,N/A,24.1,139.82
0997-YTLNY,51-65,3749,Stayed,Not Applicable,N/A,48.8,1030.22
4187-CINZD,Over 65,3180,Churned,Competitor,Competitor had better devices,95.25,4706.18
0999-QXNSA,Over 65,3779,Stayed,Not Applicable,N/A,45.75,603.18
4311-QTTAI,51-65,2017,Stayed,Not Applicable,N/A,19.35,950.75
1000-AJSLD,20-35,4389,Churned,Competitor,Competitor made better offer,20.1,24.21
4332-MUOEZ,Over 65,2574,Stayed,Not Applicable,N/A,94.3,2469.1
4374-YMUSQ,51-65,4022,Stayed,Not Applicable,N/A,116.25,4660.99
1009-IRMNA,20-35,4479,Churned,Attitude,Attitude of support person,20,249.88
4423-JWZJN,51-65,4799,Stayed,Not Applicable,N/A,90.25,8531.55
1010-DIAUQ,51-65,5383,Churned,Competitor,Competitor made better offer,96.5,596.85
4487-ZYJZK,51-65,4623,Stayed,Not Applicable,N/A,19.6,2158.46
1013-QCWAM,Over 65,5469,Stayed,Not Applicable,N/A,100.8,8542.71
4522-XRWWI,20-35,4397,Stayed,Not Applicable,N/A,80.45,4102.92
1015-JPFYW,36-50,5084,Stayed,Not Applicable,N/A,19.45,480.87
4549-ZDQYY,20-35,6078,Stayed,Not Applicable,N/A,57.95,4801.93
1015-OWJKI,36-50,5279,Joined,Not Applicable,N/A,19.05,24.07
4584-LBNMK,Over 65,5644,Stayed,Not Applicable,N/A,24.7,3195.3
1016-DJTSV,Over 65,5242,Stayed,Not Applicable,N/A,69.7,907.65
4632-XJMEX,20-35,6281,Stayed,Not Applicable,N/A,62.85,5953.43
1017-FBQMM,36-50,6361,Stayed,Not Applicable,N/A,106.05,7636.6
4795-UXVCJ,51-65,5823,Stayed,Not Applicable,N/A,19.8,1645.5
1020-JPQOW,51-65,6161,Stayed,Not Applicable,N/A,90.55,5313.4
4903-CNOZC,20-35,2064,Stayed,Not Applicable,N/A,70.9,2800.67
1022-RKXDR,36-50,3089,Stayed,Not Applicable,N/A,24.85,2301.31
4957-TIALW,20-35,2976,Stayed,Not Applicable,N/A,65.6,1311.65
1023-BQXZE,20-35,5548,Stayed,Not Applicable,N/A,74.35,5723.54
5003-OKNNK,36-50,3205,Stayed,Not Applicable,N/A,20.35,1035.55
5524-KHNJP,20-35,5344,Stayed,Not Applicable,N/A,74.75,4065.35
1024-KPRBB,51-65,2675,Stayed,Not Applicable,N/A,89.1,4575.42
5578-NKCXI,20-35,4098,Stayed,Not Applicable,N/A,99.25,8111.55
1024-VRZHF,36-50,2044,Churned,Competitor,Competitor made better offer,74.95,1063.08
5628-RKIFK,Over 65,5348,Stayed,Not Applicable,N/A,101.55,6287.56
1025-FALIX,36-50,5379,Stayed,Not Applicable,N/A,69.05,2790.91
5756-JYOJT,51-65,3206,Stayed,Not Applicable,N/A,64.9,752.25
1027-LKKQQ,20-35,4480,Stayed,Not Applicable,N/A,80.45,6819.97
5849-ASHZJ,20-35,2400,Stayed,Not Applicable,N/A,20.05,1020
1028-FFNJK,Over 65,4828,Stayed,Not Applicable,N/A,101.5,4358.25
5917-RYRMG,Over 65,3836,Stayed,Not Applicable,N/A,19.8,1416.18
1029-QFBEN,20-35,3556,Churned,Competitor,Competitor made better offer,19.55,57.99
5985-BEHZK,Over 65,6423,Stayed,Not Applicable,N/A,105,9578.93
1031-IIDEO,51-65,2874,Churned,Dissatisfaction,Network reliability,70.85,97.9
5993-BQHEA,36-50,4018,Stayed,Not Applicable,N/A,20.05,466.08
1032-MAELW,51-65,5071,Stayed,Not Applicable,N/A,78.45,5841.31
6051-PTVNS,20-35,5390,Stayed,Not Applicable,N/A,19.15,2521.6
